Movie Names,Certificate,Duration,Genre,Rating,Years,Director,Actors,Gross,Votes
Vikram Vedha,None,160,"Action, Crime, Drama",7.2,2022,"Gayatri, 
Pushkar","Saif Ali Khan, Hrithik Roshan, Radhika Apte, Rohit Saraf",,"14,261"
Ponniyin Selvan: Part I,None,167,"Action, Drama, Family",8.4,2022,Mani Ratnam,"Vikram, Karthi, Jayam Ravi, Aishwarya Rai Bachchan",,"23,217"
Kantara,None,148,"Action, Adventure, Drama",9.5,2022,Rishab Shetty,"Rishab Shetty, Sapthami Gowda, Kishore Kumar G., Achyuth Kumar",,"20,529"
Sita Ramam,None,163,"Action, Drama, Mystery",8.5,2022,Hanu Raghavapudi,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth",,"37,808"
Plan A Plan B,TV-14,105,"Comedy, Romance",4.7,2022,Shashanka Ghosh,"Riteish Deshmukh, Tamannaah Bhatia, Poonam Dhillon, Kusha Kapila",,"1,483"
Vikram Vedha,Not Rated,147,"Action, Crime, Drama",8.3,2017,"Gayatri, 
Pushkar, 
Gowtham Selvaraj","Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir",,"43,899"
Chup,None,135,"Drama, Romance, Thriller",8.4,2022,R. Balki,"Amitabh Bachchan, Pooja Bhatt, Akash Boro, Sunny Deol",,"12,970"
RRR,Not Rated,187,"Action, Drama",8.0,2022,S.S. Rajamouli,"N.T. Rama Rao Jr., Ram Charan Teja, Ajay Devgn, Alia Bhatt",,"110,967"
Laal Singh Chaddha,PG-13,159,"Comedy, Drama, Romance",5.3,2022,Advait Chandan,"Aamir Khan, Ahmad Ibn Umar, Kareena Kapoor, Hafsa Ashraf",,"168,518"
Godfather,None,157,"Action, Crime, Drama",6.1,2022,Mohan Raja,"Chiranjeevi, Salman Khan, Nayanthara, Satyadev Kancharana",,"4,650"
Jamtara: Sabka Number Ayega,TV-MA,29,Crime,7.3,2020,,"Amit Sial, Sparsh Srivastav, Monika Panwar, Anshuman Pushkar",,"7,373"
Vikram,None,175,"Action, Thriller",8.4,2022,Lokesh Kanagaraj,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain",,"53,925"
Karm Yuddh,None,35,Drama,8.5,2022,,"Satish Kaushik, Ashutosh Rana, Paoli Dam, Rajesh Khattar",,"12,723"
Criminal Justice: Adhura Sach,None,45,"Crime, Drama, Mystery",7.9,2022,,"Pankaj Tripathi, Swastika Mukherjee, Purab Kohli, Aaditya Gupta",,"2,580"
Goodbye,None,130,"Comedy, Drama, Family",8.3,2022,Vikas Bahl,"Amitabh Bachchan, Neena Gupta, Rashmika Mandanna, Pavail Gulati",,"3,861"
Adipurush,None,,Action,,2023,Om Raut,"Atikur Rahman Mahi, Prabhas, Saif Ali Khan, Kriti Sanon",,
Raksha Bandhan,None,108,"Comedy, Drama, Family",5.0,2022,Aanand L. Rai,"Akshay Kumar, Sadia Khateeb, Bhumi Pednekar, Sahil Mehta",,"23,363"
Brahmastra Part One: Shiva,None,167,"Action, Adventure, Fantasy",5.6,2022,Ayan Mukerji,"Shah Rukh Khan, Deepika Padukone, Alia Bhatt, Amitabh Bachchan",,"95,055"
Vikrant Rona,Not Rated,148,"Action, Adventure, Drama",7.3,2022,Anup Bhandari,"Sudeep, Nirup Bhandari, Neetha Ashok, Jacqueline Fernandez",,"24,452"
Babli Bouncer,None,118,"Comedy, Drama",7.3,2022,Madhur Bhandarkar,"Tamannaah Bhatia, Sahil Vaid, Karan Singh Chhabra, Abhishek Bajaj",,"6,062"
Karthikeya 2,None,150,"Action, Adventure, Fantasy",8.0,2022,Chandoo Mondeti,"Nikhil Siddharth, Anupama Parameswaran, Srinivasa Reddy, Harsha Chemudu",,"57,243"
Maja Ma,None,134,"Comedy, Drama",6.2,2022,Anand Tiwari,"Madhuri Dixit, Ritwik Bhowmik, Barkha Singh, Gajraj Rao",,"1,365"
3 Idiots,PG-13,170,"Comedy, Drama",8.4,2009,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi",$6.53M,"397,621"
777 Charlie,None,164,"Adventure, Comedy, Drama",9.0,2022,Kiranraj K,"Rakshit Shetty, Charlie, Sangeetha Sringeri, Raj B. Shetty",,"25,995"
Dahan: Raakan Ka Rahasya,None,49,Thriller,7.2,2022,,"Saurabh Shukla, Ankur Nayyar, Happy Ranajit, Rajesh Tailang",,"6,677"
Dhokha,None,122,"Crime, Thriller",8.4,2022,Kookie Gulati,"Madhavan, Khushali Kumar, Aparshakti Khurana, Darshan Kumaar",,"4,922"
Naane Varuven,None,122,"Action, Drama, Mystery",7.0,2022,K. Selvaraghavan,"Dhanush, Prabhu, Indhuja Ravichandran, Elli Avrram",,"2,630"
Rocketry: The Nambi Effect,None,157,"Biography, Drama",8.9,2022,Madhavan,"Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra",,"47,107"
Jogi,TV-MA,116,"Drama, History, Thriller",7.3,2022,Ali Abbas Zafar,"Diljit Dosanjh, Atikur Rahman Mahi, Kumud Mishra, Mohd. Zeeshan Ayyub",,"5,275"
Delhi Crime,TV-MA,50,"Crime, Drama",8.5,2019,,"Shefali Shah, Rajesh Tailang, Rasika Dugal, Anurag Arora",,"22,833"
Hit: The First Case,None,132,"Action, Crime, Drama",6.9,2022,Sailesh Kolanu,"Rajkummar Rao, Sanya Malhotra, Akhil Iyer, Jatin Goswami",,"12,861"
Khuda Haafiz Chapter 2 Agni Pariksha,None,144,"Action, Crime, Drama",7.7,2022,Faruk Kabir,"Vidyut Jammwal, Shivaleeka Oberoi, Dibyendu Bhattacharya, Sheeba Chaddha",,"13,140"
Baahubali: The Beginning,Not Rated,159,"Action, Drama",8.0,2015,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia",$6.74M,"124,369"
Thiruchitrambalam,None,131,"Comedy, Drama, Musical",8.0,2022,Mithran Jawahar,"Dhanush, Nithya Menen, Bharathiraja, Prakash Raj",,"8,059"
The Family Man,TV-14,45,"Action, Comedy, Drama",8.7,2019,,"Manoj Bajpayee, Samantha Ruth Prabhu, Priyamani, Sharib Hashmi",,"86,731"
