Movie Names,Certificate,Duration,Genre,Rating,Years,Director,Actors,Gross,Votes
Saprem: With Love,None,,"Short, Drama",,2018,Ravikant Soitkar,"Mithun Hatwar, Yogesh Raut, Amit Shende",,
45 Minutes Visual Poetry,None,,"Short, Musical",,2016,Gowda Mahesh,"Gowda Mahesh, Chandrashekar Priyanka",,
Kalpana,None,30,"Short, Drama, Fantasy",,2009,Mihir Desai,"Chad Meyer, Amy Shah, Leon Shepard",,
Disconnected: The Cellphone Addiction Effects,None,12,"Short, Drama",,2021,"Aishwary Dubey, 
Rupali Dwivedi","Pavitra Jain, Ojas Ujjwal Narula, Prahlad Rajput, Hrituraj Shrivastav",,
Shenbaga Kottai,None,,None,5.0,2016,Kannan Thamarakkulam,"Jayaram, Ramya Krishnan, Sampath Raj",,7
Konjum Kumari,None,,None,,1963,T.R. Sundaram,"K.R. Indira Devi, R.S. Manohar, Aachi Manorama",,
Jan Dhan Yojana Special,None,48,News,,2017,Rajkumar Garewal,"Shiva Ji Aryan, Simrat Chahal, Kulvinder Kaur, Lokesh Kumar",,
Parvathy and Lijoy,None,,"Short, Drama",,2018,,Arabind Chandrasekhar,,
Angry Birds,None,,"Short, Action, Crime",,2021,Reejah,"Najrul, Ujjwal, Nikhita, Amit",,
Maanbhanjan,None,,Drama,7.3,1923,Naresh Mitra,"Durgadas Bannerjee, Tulsi Bannerjee, Tincory Chakrabarty, Sona Devi",,13
Naa Mechida Huduga,None,154,None,,1972,R.N. Jayagopal,"Kalpana, K.S. Ashwath, Leelavathi, Vadiraj",,
Khwabon Mein,None,,"Short, Musical",,2001,,Arjan Bajwa,,
Pehchan,None,,None,,1946,,P.C. Barua,,
Trip,None,4,"Documentary, Short",6.9,1970,,Pramod Pati,,16
Pinjara,None,,Short,,2016,Rajeev Singh,"Rajeev Singh, Preeti Tyagi",,
Manchi Manasuku Manchi Rojulu,Not Rated,168,Drama,,1958,Rao C.S.R.,"N.T. Rama Rao, Ammaji, Girija, Ramana Murthi J.V.",,
The Cage,None,7,"Documentary, Short, Drama",,2016,Prammod Sanghi,"Naseeruddin Shah, Anupriya Goenka, Harleen Sethi, Teena Singh",,
Police Game,None,,Action,,2013,Sadha,"Habib Al Aidroos, Brahmanandam, Sri Hari, Kota Srinivasa Rao",,
Others,None,,"Short, Drama",,2017,,Kumar Nishant,,
Shri Ramanuja,None,,None,7.3,1943,Debaki Bose,"Biman Bandopadhyay, Chhayadevi, Hiralal, Kamal Mitra",,10
