Movie Names,Certificate,Duration,Genre,Rating,Years,Director,Actors,Gross,Votes
Devi Kanyakumari,None,,None,,1974,P. Subramaniam,"Vinodini, P.K. Abraham, T.K. Balachandran, Adoor Bhawani",,
Kasam Durga Ki,None,,Drama,,1984,Joginder Shelly,"Vijay Arora, Sona Mastan Mirza, Raza Murad, Joginder Shelly",,
Ajab Sanju Ra Gajab Love,None,,"Drama, Romance",,2019,Ashok Pati,"Babusan, Archita Sahu",,
Shadyantra,None,,Thriller,,1996,,"Tinnu Anand, Poonam Dasgupta, Ramesh Goyal, Firoz Irani",,
Inspector,None,,None,,1968,M. Krishnan Nair,"Kaduvakkulam Antony, Adoor Bhasi, Jyothi Lakshmi, Thikkurisi Sukumaran Nair",,
Raja Aur Rangeeli,None,,"Comedy, Romance",7.1,1996,K.S. Prakash Rao,"Mamta Kulkarni, Mohan Babu",,77
Blue Night: The Dangerous Game,None,,Thriller,,2000,Munir Khan,"Mohan Joshi, Rubina Khan, Kiran Kumar, Raza Murad",,
Behti Naak,None,,"Short, Comedy",,2016,Kanan Gill,Sumukhi Suresh,,
Khooni Ilaaka: The Prohibited Area,None,87,Horror,6.1,1999,Jitendra Chawda,"Kishore Bhanushali, Arif Khan, Anil Nagrath, Raj Premi",,27
The Virus (Kannada),None,,Horror,,,Ramesh Yadav,"Priyanka Upendra, Dharma Keerthiraj, Anusha Rai, Muni Venkat Charan",,
Kaakka,None,31,"Short, Drama",,2020,Aju Ajeesh,"Lakshmika Sajeevan, Satish Ambadi, Ganga Surendran, Sreela Nalledam",,
Kishmish Spoof,None,,"Short, Romance",,2022,,Das Dipankar,,
Marriage Da Garriage,None,142,Comedy,5.2,2014,Jaswinder Singh,"Jaswinder Bhalla, Navraj Hans, Shakti Kapoor, Keeya Khanna",,53
Parampara,None,,"Drama, Thriller",5.7,1990,Sibi Malayil,"Mammootty, Sumalatha, Suresh Gopi, Malaysia Vasudevan",,58
Thooku Thooki,None,,None,6.9,1954,R.M. Krishnaswamy,"Shivaji Ganesan, Lalitha, Padmini, Ragini",,19
Sadhu in Bombay,Not Rated,15,Short,6.2,2017,Kabir Mehta,"Ahtesham Hussain, Kabir Mehta, Nutan Sinha",,81
Madh Bhare Nain,None,,"Comedy, Romance",,1955,Hemchandra Chunder,"Kishore Kumar, Yashodra Katju, Bina Rai, David Abraham",,
Jazbaat,Not Rated,124,Drama,4.1,1980,Suraj Prakash,"Raj Babbar, Zarina Wahab, Shashi Puri, Savita Bajaj",,36
Pilu,None,,"Comedy, Drama",,2022,,"Gourab Roy Chowdhury, Dan Megna",,
Abelay Garam Bhat,Not Rated,115,"Comedy, Drama, Romance",6.6,2008,Subhendu Ghosh,"Paran Banerjee, Bibhu Bhattacharya, Abhishek Chatterjee, Biplab Chatterjee",,5
Nai Maa,None,,"Drama, Family",,1960,P.L. Santoshi,"Daisy Irani, Sheila Kashmiri, Sailesh Kumar, Moolchand",,
Desh Pardesh,None,,Action,,2013,Vimal Kumar,"Rati Agnihotri, Dharmendra, Kader Khan, Monalisa",,
Hidden Mirror,None,,Drama,,2021,,"Sandeep Yadav, Jaswinder Makrauna, Rahul Singh, Dabbu Kumar",,
A River in Heaven,None,,Drama,,,Riingo Banerjee,"Chandrayee Ghosh, Sudip Mukherjee, Sujoy Prosad Chatterjee, Rafiath Rashid Mithila",,
Eternal Canvas,None,40,"Short, Drama",,2021,,"Papiya Adhikari, Devlina Kumar",,
U Turn,None,30,Comedy,,2019,,"Sayali Sanjeev, Omprakash Shinde, Anvita Phaltankar, Sharvari Lohokare",,
Do Aur Do Paanch,None,19,Comedy,,1997,,"Ali Asgar, Tanaaz Currim Irani, Dilip Joshi, Jatin Kanakia",,
Journalist,None,,"Comedy, Drama",5.8,1993,Viji Thampi,"Jagadish, Siddique, Sithara, Saikumar",,24
ChuChu TV Bedtime Stories & Funny Cartoons,None,,Animation,,2016,,,,
Dil Rangeela,None,128,"Comedy, Romance",6.7,2014,Preetham Gubbi,"Ganesh, Rachita Ram, Rangayana Raghu, Achyuth Kumar",,54
Door Waadiyon Mein Kahin,None,,Drama,6.6,1980,Kishore Kumar,"Kishore Kumar, Shyamalee, Sonam, Bindu Desai",,6
Coolie,None,114,Action,,2002,A. Vijay,"Mumtaj, Raasi, Srihari",,
Keratam,None,,Romance,4.3,2011,Gautam Patnaik,"Srinivasa Rao Bhimaneni, Pradeep Bogadi, Aishwarya Devan, Venu Madhav",,9
Supercops V/S Supervillains - Koko Robo Special,None,45,Action,,2014,,,,
Sundori Komola,None,,"Short, Romance",,2010,Debjeet Ghosh,"Rajkumar Patra, Sangeeta",,
Marmaram,None,113,"Drama, Romance",7.2,1983,Bharathan,"Nedumudi Venu, Jalaja, Bharat Gopy, Meena",,14
Nee Premakai,None,,Romance,6.6,2002,Muppalaneni Siva,"Abbas, Vineeth, Laya, Sonia Agarwal",,7
Bandham,None,,None,,1983,Vijayanand,"P.K. Abraham, Adoor Bhasi, Nellikode Bhaskaran, Janardanan",,
