Movie Names,Certificate,Duration,Genre,Rating,Years,Director,Actors,Gross,Votes
Kathiri Veyil,None,,Action,,2019,Amjad,"Vincent Ashokan, Kaadhal Dhandpani, Thalaivasal Vijay",,
Jaan Tere Liye,None,,Romance,,1995,,"Avtar Gill, Ved Goswami, Bharat Kapoor, Manmauji",,
On Stamps and Stamping,None,,Documentary,,1959,,Govind Saraiya,,
Malan - The Threshing,None,37,"Short, Drama",,2019,Mane Charusheel,Ashok Karhale,,
Flight Delayed,None,12,"Short, Drama",,2013,,Sid Katragadda,,
Gessu,None,23,"Documentary, Short",,2020,,Gaurav Kuri,,
In the Warmth of Pheran,None,7,"Short, Drama",,2019,Deepankur Anand,"Gaurav Grewal, Ajay Kumar",,
Chained,None,11,"Short, Drama",8.7,2017,Aseef Ameen,"Jeevan Jos Kaitharath, Akshay Radhakrishnan",,7
Jilted,None,1,"Animation, Short, Drama",,2010,,Sandip Chatterjee,,
Lassi & coffee,None,,"Short, Romance",,2020,Arjun Charan B.,"Rishabh Bhardwaj, Jitendriya Pradhan, Dev Shah, Yuvradnyee",,
Nilshari,None,,None,,1954,Sudhir Bandhu,"Bhanu Bannerjee, Jahar Ganguli, Anup Kumar",,
Room 462,None,19,"Short, Thriller",,2018,Abhishek Bhattacharyya,"Soumyajit Basu, Mitali Gupta, Debayan Bhattacharyya, Abhishek Bhattacharyya",,
Unmaye Un Vilai Enna,None,,Drama,,1976,Cho Ramaswamy,"R. Muthuraman, Cho Ramaswamy, Aachi Manorama, S.A. Ashokan",,
Chhoti Maa,None,,None,,1943,Chaturbhuj Doshi,"Arun, Khurshid Begum",,
Make Ups,None,9,"Short, Biography, Drama",,2006,"Jehangir Jani, 
Jyoti Neggi","Zeenat Aman, Pretti Jaiin, Jehangir Jani, Vishwas Kulkarni",,
Aazhikkoru Muthu,None,,None,,1989,Sophy,"Indrans, Vanitha Krishnachandran, Kuthiravattam Pappu, Aranmulla Ponnamma",,
Sandya My Love,None,,None,,2001,Sunder K. Vijayan,Babloo,,
Arivumani,Not Rated,145,Drama,,2004,M.A. Kennedy,"Ramesh Khanna, Murali, Meera Vasudevan",,
Archana,None,,None,6.2,1966,K.S. Sethumadhavan,"Adoor Bhasi, Hari, Madhu, Muthukulam Raghavan Pillai",,7
Parajay,None,,Drama,,1939,Hemchandra Chunder,"Kanan Devi, Chhabirani, A.H. Shore, Bhanu Bannerjee",,
Silver Lining: The Journey of Rashpal Singh,None,40,"Documentary, Short",,2021,,Ojaswwee Sharma,,
Ravan Baba,None,10,"Documentary, Short",,2018,,Varun Garg,,
Jyothi,None,,None,,1983,,Manivannan,,
Bhalo Maye Kharap Maye,None,100,Drama,,2019,Tamal Dasgupta,"Ananya Chatterjee, Sreelekha Mitra, Joy Sengupta, Arindam Sil",,
"Bollywood, You Can't Get Me Down",None,,Drama,,,,,,
Duo,None,3,"Short, Drama, Family",8.9,2015,Jithin P Gopal,"Goutham, Govind",,9
Aksharam,None,25,"Short, Drama",,1990,Govind Rajshekar Menon,Lakshmi Krishnamurthy,,
Bangalore Bandh,None,148,Drama,,2013,Teshi Venkatesh,"Doddanna, Sai Kumar, Anant Nag",,
Shri Srinivas Kalyana,None,,None,,1952,"Shanker D. Singh, 
B. Vittalacharya","Vimalanandadas, Pratima Devi, Rajkumar",,
Amudha,None,,"Short, Horror",,2011,,Deepan Chakravarthy,,
ThrillOThrill,None,,"Short, Thriller",,2022,Ashish Kumar,"Ashish Kumar, Rishi",,
Laheri Lutaru,None,,None,,1932,,R.N. Vaidya,,
Fat Boy,None,,"Short, Drama",,2018,Abhishek Bhatnagar,"Kashish Bhardwaj, Utkarsh Mishra, Duhati Samnani, Shailendra Singh",,
Swattu,None,,None,,1980,N. Sankaran Nair,"N. Govindankutty, Ravi Kumar, Thikkurisi Sukumaran Nair, Jagathi Sreekumar",,
Bhangagara,Not Rated,128,Drama,6.2,1954,Sushil Majumdar,"Chhabi Biswas, Rekha Mallick, Sandhya Rani, Biren Chatterjee",,11
Banbanaa Highway,None,,"Short, Horror",,2017,,Pc Pawar,,
Shashikala,None,,None,,1928,Bhagwati Prasad Mishra,"Jillo, Putli",,
Maacher Kanta,None,,"Short, Drama",,2005,Cyrus Khambata,"Anindya Pulak Banerjee, Amit Chatterjee, Priyanka Nandi, Monalisa Watre Sangma",,
Ohh My God!!!,None,9,"Short, Drama",,2008,Abdhul Khadir,"Puttaraju Gowda, Vineet Gupta, Gosia Mahler, Janardhan Reddy",,
Kaantha Valayam,None,,None,,1980,I.V. Sasi,"Bahadur, Jayan, Krishnachandran, Ravi Kumar",,
Pattathu Rajakkal,None,,None,,1982,S.A. Chandrashekhar,"Silk Smitha, Vijayakanth",,
Miss Shoe-Bra Negi,None,14,"Short, Drama",,2012,Shukla Barnali Ray,Yogesh Dixit,,
Avala Charithre,None,133,Drama,,1998,Vemgal,"Abhinaya, Ramesh Aravind, Shyam Sundar",,
Keno Mon Take Chay,None,,Drama,,2012,Milan Bhowmik,"Biplab Chatterjee, Rimjhim Mitra, Mrinal Mukherjee",,
The Last Conversation,None,,"Short, Thriller",,2022,Hrishikesh Kadam,"Sarish Kanungo, Sami Khan",,
Funky Love,None,,"Short, Music",,2017,"Ayush Anand, 
Vibhas Sawar",Vibhas Sawar,,
Theerumanam,None,,None,,1984,,U. Vishweswar Rao,,
