Movie Names,Certificate,Duration,Genre,Rating,Years,Director,Actors,Gross,Votes
Joe's Wedding,None,99,"Comedy, Romance",5.6,1996,Michael Kennedy,"D.W. Moffett, Kate Vernon, Tammy Isbell, David Hewlett",,65
Kid Paddle,Not Rated,13,"Animation, Action, Comedy",6.1,2003,,"Daniel Brochu, Arthur Holden, Eleanor Noble, Pauline Little",,79
I Hate You Little Girls,None,43,"Short, Drama",5.7,2008,Yann Gonzalez,"Kate Moran, Pierre-Vincent Chapus, Damien Gourmelon, Suzanne Combeaud",,36
Snowflakes,None,15,"Short, Drama, Sci-Fi",6.5,2019,Faye Jackson,"Sharon Duncan-Brewster, Cherrelle Skeete, Alistair Moulton Black, Angus Kennedy",,30
Babamiz Egleniyor,None,88,Comedy,4.6,1987,Mehmet Bozkus,"Mehmet Ali Erbil, Bahar Öztan, Ergun Köknar, Asuman Arsan",,15
"Peter Handke: Bin im Wald. Kann sein, dass ich mich verspäte...",None,89,Documentary,6.8,2016,Corinna Belz,"Peter Handke, Amina Handke, Léocadie Handke, Sophie Semin",,77
Universal Max 1,None,167,Adult,6.5,2004,Max Hardcore,"Max Hardcore, Jessie, Chiquita Lopez, Summer Luv",,14
A Pest in the House,TV-PG,8,"Animation, Short, Adventure",7.4,1947,Chuck Jones,"Mel Blanc, Arthur Q. Bryan",,812
El Limpiapiscinas,TV-14,92,Comedy,3.8,2011,Jose Luis Guridi,"Sebastián Badilla, Denise Rosenthal, Fernando Larraín, Alejandra Fosalba",,450
Truth or Drink,None,5,"Short, Comedy, Romance",8.1,2011,Amy Reedy Asbjørnsen,"Kelsey Reinhardt, Diane Rosser",,67
The Devil's Elixirs,None,96,None,5.8,1973,"Brigitte Kirsten, 
Ralf Kirsten","Benjamin Besson, Jaroslava Schallerová, Andrzej Kopiczynski, Milena Dvorská",,24
A Single Frame,None,73,Documentary,7.5,2015,Brandon Dickerson,"Alexandra Boulat, Gracie Bowden, Jeff Bowden, Wade Goddard",,70
Delayed Gratification,None,6,Drama,10.0,2017,,"Naya Somanya, Dominique Janelle, Nastassia Pryce, Fatima Ming",,8
Måneskin: Supermodel,None,3,Music,5.8,2022,"Bedroom, 
Soren Harrison, 
Amir Hossain","Måneskin, Ibraheem Anwar, Leah Asghar-Sandys, Cara B.",,9
Young at Heart,Not Rated,29,"Documentary, Short, Romance",6.8,1987,"Pamela Conn, 
Sue Marx","Louis Gothelf, Reva Shwayder-Gothelf",,60
Factory Talk,None,5,Short,5.7,2020,"Chrissie Hyde, 
Lucie Rachel","Nicholas Finegan, Darryl Bradford",,11
