Movie Names,Certificate,Duration,Genre,Rating,Years,Director,Actors,Gross,Votes
Camp: Part 2,TV-PG,25,"Crime, Drama",7.7,1968,Dennis Donnelly,"Martin Milner, Kent McCord, June Lockhart, Lee Montgomery",,81
Capture,TV-PG,25,"Crime, Drama",7.9,1968,Lawrence Doheny,"Martin Milner, Kent McCord, Jed Allan, Virginia Gregg",,70
Christmas,TV-PG,25,"Crime, Drama",8.4,1968,Norman Abbott,"Martin Milner, Kent McCord, William Boyett, Wallace Rooney",,68
Citizen with a Gun,TV-PG,25,"Crime, Drama",8.0,1968,Christian Nyby,"Martin Milner, Kent McCord, Hank Brandt, Ress Fix",,66
Citizens All,TV-PG,25,"Crime, Drama",7.8,1968,James Neilson,"Martin Milner, Kent McCord, Vic Perrin, Jo Anne Meredith",,83
Citizens Arrest - 484,TV-PG,25,"Crime, Drama",7.6,1968,Sam Freedle,"Martin Milner, Kent McCord, Pamela Jones, Robert DoQui",,72
Clear with a Civilian: Part 1,TV-PG,25,"Crime, Drama",7.8,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Juanita Moore, Peggy Rea",,71
Clear with a Civilian: Part 2,TV-PG,25,"Crime, Drama",8.3,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Juanita Moore, Rose Marie",,73
A Clinic on 18th Street,TV-PG,25,"Crime, Drama",7.4,1968,Jack Webb,"Martin Milner, Kent McCord, Ed Nelson, Frank Sinatra Jr.",,93
Credit Risk,TV-PG,25,"Crime, Drama",8.1,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Harry Hickox, Bert Holland",,77
Dana Hall,TV-PG,25,"Crime, Drama",8.4,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Jo Ann Pflug, Marla Adams",,97
Day Watch,TV-PG,25,"Crime, Drama",8.0,1968,Dennis Donnelly,"Martin Milner, Kent McCord, George Murdock, J. Pat O'Malley",,57
Dirt Duel,TV-PG,25,"Crime, Drama",7.9,1968,Carl Barth,"Martin Milner, Kent McCord, Micky Dolenz, Virginia Gregg",,97
Easy Rap,TV-PG,25,"Crime, Drama",8.3,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Joe Kapp, Damon Douglas",,68
Log 105: Elegy for a Pig,TV-PG,25,"Crime, Drama",9.2,1968,Christian Nyby,"Martin Milner, Kent McCord, Mark Goddard, Rachel Romen",,236
Excessive Force,TV-PG,25,"Crime, Drama",8.9,1968,Lawrence Doheny,"Martin Milner, Kent McCord, William Boyett, Sandy Kenyon",,93
Extortion,TV-PG,25,"Crime, Drama",7.3,1968,Christian Nyby,"Martin Milner, Kent McCord, John Bleifer, Benny Rubin",,81
