Movie Names,Certificate,Duration,Genre,Rating,Years,Director,Actors,Gross,Votes
Dahmer - Monster: The Jeffrey Dahmer Story,TV-MA,534,"Biography, Crime, Drama",8.1,2022,,"Evan Peters, Richard Jenkins, Molly Ringwald, Niecy Nash",,"68,512"
Hocus Pocus 2,PG,103,"Comedy, Family, Fantasy",6.1,2022,Anne Fletcher,"Bette Midler, Sarah Jessica Parker, Kathy Najimy, Whitney Peak",,"28,876"
Blonde,NC-17,167,"Biography, Drama, Romance",5.5,2022,Andrew Dominik,"Ana de Armas, Lily Fisher, Julianne Nicholson, Tygh Runyan",,"38,212"
Hocus Pocus,PG,96,"Comedy, Family, Fantasy",6.9,1993,Kenny Ortega,"Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz",$39.51M,"134,714"
Smile,R,115,Horror,6.9,2022,Parker Finn,"Sosie Bacon, Jessie T. Usher, Kyle Gallner, Robin Weigert",,"20,571"
Andor,TV-14,40,"Action, Adventure, Drama",8.1,2022,,"Diego Luna, Stellan Skarsgård, Alex Ferns, Genevieve O'Reilly",,"27,472"
She-Hulk: Attorney at Law,TV-14,35,"Action, Adventure, Comedy",5.1,2022,,"Tatiana Maslany, Ginger Gonzaga, Malia Arrayah, Jameela Jamil",,"128,747"
The Walking Dead,TV-MA,44,"Drama, Horror, Thriller",8.1,2010,,"Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",,"974,362"
