Movie Names,Certificate,Duration,Genre,Rating,Years,Director,Actors,Gross,Votes
Eye of the Beholder,X,149,"Adult, Drama, Horror",6.2,2004,Brad Armstrong,"Kaylani Lei, Jessica Drake, Charmane Star, Lezley Zen",,35
Roger & Harry: The Mitera Target,Not Rated,72,"Action, Thriller, Drama",6.2,1977,Jack Starrett,"John Davidson, Barry Primus, Carole Mallory, Anne Randall",,8
"Don't Ask, Don't Tell",Not Rated,85,"Biography, Drama, History",7.8,2011,John Walsh,Marc Wolf,,52
Casper's First Christmas,G,30,"Animation, Short, Comedy",6.8,1979,"Carl Urbano, 
Chris Cuddington","Daws Butler, Ida Sue McCune, Paul DeKorte, Julie McWhirter",,255
The Good Terrorist,None,79,Documentary,5.1,2019,,Robert Oey,,27
"Anthony, Warrior of God",None,110,Biography,6.0,2006,Antonello Belluco,"Jordi Mollà, Paolo De Vita, Matt Patresi, Andrea Ascolese",,196
Ocean of Fear,TV-14,85,Documentary,7.2,2007,Richard Bedser,"Richard Dreyfuss, Simon Lee Phillips, Philip Rosch, Chris Mack",,147
Hearts in Dixie,Passed,71,"Drama, Musical",6.2,1929,Paul Sloane,"Stepin Fetchit, Clarence Muse, Eugene Jackson, Dorothy Morrison",,31
Stranger Things,None,10,"Short, Drama",8.4,2009,Danielle Katvan,"William Rogue, Premstar Santana, Bert van Aalsburg",,11
Infestation: Day One,None,58,"Horror, Sci-Fi, Thriller",6.1,2013,Lana Titov,"Josh Butcher, Annakate Chappell, Mark Conlon, Angela de Silva",,128
When the Sun Sets,None,14,"Short, Drama",7.2,2021,Phumi Morare,"Zikhona Bali, Aphiwe Mkefe, Thembekile Mathe, Awonke Mtonjana",,81
Petrol sevdasi,None,109,Comedy,4.0,2020,Hasan Dogan,"Halil Ibrahim Kurum, Tugba Melis Türk, Selahattin Tasdögen, Suat Sungur",,25
By a Hair,None,21,"Short, Comedy",7.0,2019,"Lauriane Escaffre, 
Yvo Muller","Grégory Gadebois, Madeleine Baudot, Lauriane Escaffre, Brigitte Masure",,136
Rending,None,93,Drama,5.2,2001,Raquel Freire,"Ricardo Aibéo, Ana Teresa Carvalhosa, Isabel Ruth, Paula Marques",,225
Illicit Desires,None,74,Drama,5.4,1966,Pavlos Tasios,"Hristos Negas, Eleni Prokopiou, Vagelis Seilinos, Dora Kostidou",,17
Trigger Fast,R,96,Western,2.9,1994,David Lister,"Jürgen Prochnow, Martin Sheen, Corbin Bernsen, Gerard Christopher",,793
The Goose That Laid the Golden Egg,None,7,"Animation, Comedy, Short",6.3,1936,"Burt Gillett, 
Tom Palmer","Walter Tetley, Gus Wickie",,281
Karamoja,Not Rated,63,Documentary,6.2,1954,,William B. Treutle,,39
Second Act,None,13,"Short, Drama",8.3,2014,Francesca de Sola,"Michelle Rodriguez, Evangelo Bousis, Paul Calderon, Alex Emanuel",,21
Karate Warrior 4,None,91,"Action, Adventure, Drama",2.7,1992,Fabrizio De Angelis,"Ron Williams, David Warbeck, Dorian D. Field, Christopher Alan",,79
Deej,None,72,Documentary,7.2,2017,,Robert Rooy,,14
The Haka,None,15,"Short, War",8.6,2021,Isaac Lee,"Watene Campbell, Hamish Karawana Innes, Sam Limmage-Werner, Fredrick Pokai",,10
Larger Than Life,None,13,"Short, Action, Comedy",6.6,1997,Ellory Elkayem,"Rebecca Hobbs, Jeremy Callaghan, Patrick Wilson, Hamish Gough",,310
Életképek,None,30,"Family, Drama",5.3,2004,,"Barbara Hegyi, Sári Herrer, Oszkár Gáti, János Kulka",,110
Saif Al Arab,None,244,Comedy,8.8,1992,Ruqayah Al Koot,"Abdulhussain Abdulredha, Hayat Al Fahad, Mariam Al Saleh, Khaled Al Obaid",,104
Bravo,R,91,"Action, Drama, Thriller",5.1,1998,Lorena David,"Carlos Gallardo, Richard Livingston, Gustavo Ganem, Óscar Castañeda",,54
Thavasi,Not Rated,165,"Action, Comedy, Drama",4.7,2001,Udayshankar,"Vijayakanth, Soundarya, Vadivelu, Pratyuksha",,139
The Fred Waring Show,None,60,Music,7.7,1949,,"Fred Waring, Joe Marine, Daisy Bernier, Joanne Wheatley",,23
Doombeach,None,73,Drama,6.4,1989,Colin Finbow,"Jeremy Coster, Glenda Jackson, Donna Taibe, Alex Mitchell",,57
Super Supremes No No Song + More Nursery Rhymes & Kids Songs,None,46,Animation,8.2,2010,,,,9
Face Dance Part Two,X,140,Adult,7.0,1992,John Stagliano,"Rocco Siffredi, Tiffany Million, Joey Silvera, John Stagliano",,130
Geetanjali,Not Rated,150,Drama,6.1,1993,Shakti Samanta,"Jeetendra, Rekha, Vijay Arora, Amita Nangia",,51
Goblet of Gore,None,71,Horror,3.2,1996,Andreas Schnaas,"Vivian Giaretti, Tom Trambow, Karsten Holthusen, Gernot Rupnow",,149
Incognito Mode,TV-PG,89,Action,10.0,2019,,"Samuel Davenport, James A Davenport, Yamil Villeda, Yariel Villeda",,5
Eromanga Sensei OVA,None,48,"Animation, Comedy",5.7,2019,"Takuma Suzuki, 
Ryôhei Takeshita","Yoshitsugu Matsuoka, Akane Fujita, Minami Takahashi, Saori Oonishi",,150
Sexy and 18,None,97,Adult,4.9,1987,Richard Eagle,"Fallon, Krista Lane, Tanya Foxx, Tom Byron",,104
Cotton Patch Gospel,None,111,Musical,8.6,1988,"Michael Meece, 
Russell Treyz","Tom Key, Scott Ainslie, Pete Corum, Jim Lauderdale",,69
The Kid from Texas,Passed,71,"Comedy, Romance, Sport",5.2,1939,S. Sylvan Simon,"Dennis O'Keefe, Florence Rice, John Hubbard, Jessie Ralph",,148
Messieurs les jurés,None,120,"Crime, Drama",5.6,1974,,"Henri Coutet, Julien Verdier, Franck Legris, Van Doude",,9
Fate/Zero Remix,None,24,"Animation, Short, Action",7.5,2012,,"Sayaka Hara, Mai Kadowaki, Ayako Kawasumi, Rikiya Koyama",,13
Colpo gobbo all'italiana,None,100,Comedy,6.8,1962,Lucio Fulci,"Mario Carotenuto, Andrea Checchi, Hélène Chanel, Gina Rovere",,93
Traffic in Crime,Approved,56,"Action, Adventure, Drama",5.7,1946,Lesley Selander,"Kane Richmond, Anne Nagel, Adele Mara, Wade Crosby",,43
Intolerable Cruelty: Scene Study,Not Rated,4,"Short, Comedy, Crime",5.6,2011,Ryan McKinney,"Steve Dakota, Susan McKinney",,11
The Kiss,Not Rated,15,"Short, Drama",7.1,2010,Ashlee Page,"Nicole Gulasekharam, Briony Kent",,100
Nowhere,None,100,"Comedy, Drama",5.7,2002,Luis Sepúlveda,"Jorge Perugorría, Leonardo Sbaraglia, Luigi Maria Burruano, Fernando Guillén Cuervo",,209
Going Bananas,None,30,"Comedy, Family",5.3,1984,,"Tony Devon, Jeffrey Paul Morgan, James Avery, Bill Saluga",,27
Cicero in Winter,None,21,"Short, Drama",7.4,2012,Richard Cohen,"Sharon Anderlik, Sydne Braasch, Anita Nicole Brown, Anna Carini",,12
E.P.G.,None,23,"Short, Sci-Fi",8.2,2016,Andrew Pritzker,"Jeffrey Staab, Chad Crenshaw, Kip Niven, Jennifer Seward",,8
After the Raid,None,24,"Documentary, Short",4.6,2019,,Rodrigo Reyes,,124
Banditskiy Peterburg: Oper,None,257,Crime,6.4,2003,,"Mikhail Razumovskiy, Olesya Sudzilovskaya, Sergey Lysov, Boris Birman",,158
All the King's Men,None,90,Drama,6.7,1958,Sidney Lumet,"Neville Brand, Frank Conroy, Robert Emhardt, John Fiedler",,60
Yazichniki,None,93,Drama,6.5,2017,Lera Surkova,"Elena Nesterova, Valentin Samokhin, Vitaliya Enshina, Tatyana Vladimirova",,103
South Is Nothing,None,90,"Drama, Family",6.2,2013,Fabio Mollo,"Miriam Karlkvist, Vinicio Marchioni, Valentina Lodovini, Andrea Bellisario",,276
Abbaigaru,None,154,"Comedy, Drama",7.0,1993,E.V.V. Satyanarayana,"Venkatesh Daggubati, Meena, Jayachitra, Nuthan Prasad",,85
Vellakkarante Kamuki,None,150,Romance,9.0,2021,B.S. Aniz,"Aniyappan, Jaffer Idukki, Anu Joseph, Adwaitha Manoj",,44
"Sex, Hood, Skate, and Videotape",None,52,Documentary,5.0,2006,Ian Reid,Ian Reid,,5
Kangkong,None,101,Comedy,7.4,2001,Mauro Gia Samonte,"Brigitte De Joya, Rodel Velayo, Sofia Valdez, Jethro Ramirez",,16
